date,price
2016-01-01,2252.6
2016-01-02,2454.5
2016-01-03,2708.1
2016-01-04,2577.8
2016-01-05,2597.75
2016-01-06,2617.7
2016-01-07,2903.8
2016-01-08,2887.8
2016-01-09,2813.8
2016-01-10,2786.8
2016-01-11,2759.8
2016-01-12,2549.0
2016-01-13,2335.6
2016-01-14,2332.0
2016-01-15,2365.8
2016-01-16,2367.0666666666666
2016-01-17,2368.3333333333335
2016-01-18,2369.6
2016-01-19,2359.4
2016-01-20,2394.1
2016-01-21,2395.6
2016-01-22,2390.3
2016-01-23,2393.3333333333335
2016-01-24,2396.366666666667
2016-01-25,2399.4
2016-01-26,2420.9
2016-01-27,2428.8
2016-01-28,2431.2
2016-01-29,2430.2
2016-01-30,2437.85
2016-01-31,2445.5
2016-02-01,2453.15
2016-02-02,2460.8
2016-02-03,2695.2
2016-02-04,2718.25
2016-02-05,2741.3
2016-02-06,2625.3
2016-02-07,2772.9
2016-02-08,2920.5
2016-02-09,2832.7
2016-02-10,2812.5
2016-02-11,2792.3
2016-02-12,2563.4
2016-02-13,2589.5666666666666
2016-02-14,2615.7333333333336
2016-02-15,2641.9
2016-02-16,2645.9
2016-02-17,2659.8
2016-02-18,2654.0
2016-02-19,2708.9
2016-02-20,2694.133333333333
2016-02-21,2679.366666666667
2016-02-22,2664.6
2016-02-23,2687.1
2016-02-24,2752.8
2016-02-25,2719.5
2016-02-26,2710.6
2016-02-27,2715.3333333333335
2016-02-28,2720.0666666666666
2016-02-29,2724.8
2016-03-01,2596.8
2016-03-02,2468.8
2016-03-03,2704.0
2016-03-04,2730.2
2016-03-05,2756.4
2016-03-06,2678.2
2016-03-07,2793.2
2016-03-08,2908.2
2016-03-09,2857.0
2016-03-10,2805.8
2016-03-11,2785.0
2016-03-12,2746.5333333333333
2016-03-13,2708.0666666666666
2016-03-14,2669.6
2016-03-15,2655.0
2016-03-16,2656.3
2016-03-17,2733.6
2016-03-18,2671.6
2016-03-19,2665.3333333333335
2016-03-20,2659.0666666666666
2016-03-21,2652.8
2016-03-22,2674.9
2016-03-23,2603.4
2016-03-24,2622.1
